customer_id,product_id,order_id,product_name,product_category,price,datetime,customer_name,country,city
10,19,52,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-02T15:43:51.000-05:00,Jack Lewis,Australia,Perth
6,19,53,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-10-17T09:51:45.000-05:00,Frank Wilson,Canada,Calgary
4,19,67,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-01-01T10:13:09.000-06:00,Daniel Brown,Australia,Melbourne
5,19,89,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-01-16T15:57:24.000-06:00,Eva Garcia,Germany,Cologne
12,19,103,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-21T04:42:34.000-05:00,Liam Walker,Australia,Adelaide
9,19,144,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-02-15T02:41:31.000-06:00,Ivy Clark,Australia,Melbourne
5,19,148,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-15T19:27:17.000-05:00,Eva Garcia,Germany,Cologne
14,19,168,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-10-03T02:42:32.000-05:00,Nathan King,Canada,Calgary
18,19,181,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-03-17T19:29:58.000-05:00,Rachel Evans,Germany,Munich
7,19,218,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-02-05T01:01:41.000-06:00,Grace Thompson,Germany,Frankfurt
8,19,233,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-23T18:26:34.000-06:00,Harry Martinez,Canada,Vancouver
9,19,244,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-25T06:03:10.000-05:00,Ivy Clark,Australia,Melbourne
14,19,298,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-31T22:16:18.000-05:00,Nathan King,Canada,Calgary
11,19,331,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-14T00:13:51.000-05:00,Karen Young,Germany,Frankfurt
14,19,337,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-02T09:56:35.000-05:00,Nathan King,Canada,Calgary
15,19,385,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-17T21:12:28.000-05:00,Olivia Scott,Canada,Calgary
18,19,386,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-06T19:21:08.000-06:00,Rachel Evans,Germany,Munich
16,19,439,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-10T07:59:43.000-05:00,Peter Adams,Australia,Perth
14,19,477,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-19T23:06:19.000-05:00,Nathan King,Canada,Calgary
7,19,490,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-17T00:08:24.000-05:00,Grace Thompson,Germany,Frankfurt
19,19,499,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-30T17:41:27.000-05:00,Sam Phillips,Canada,Montreal
17,19,512,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-31T19:42:38.000-05:00,Quinn Baker,Australia,Perth
12,19,532,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-16T08:21:34.000-05:00,Liam Walker,Australia,Adelaide
15,19,538,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-02T12:44:48.000-06:00,Olivia Scott,Canada,Calgary
7,19,549,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-01-18T17:33:01.000-06:00,Grace Thompson,Germany,Frankfurt
5,19,562,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-23T10:03:58.000-05:00,Eva Garcia,Germany,Cologne
18,19,573,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-19T08:50:13.000-06:00,Rachel Evans,Germany,Munich
11,19,580,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-09-20T05:34:13.000-05:00,Karen Young,Germany,Frankfurt
14,19,588,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-13T23:15:09.000-06:00,Nathan King,Canada,Calgary
17,19,603,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-11T07:25:21.000-06:00,Quinn Baker,Australia,Perth
7,7,20,Wooden Coffee Table,Living Room Furniture,149.99,2020-04-03T23:33:02.000-05:00,Grace Thompson,Germany,Frankfurt
14,7,37,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-02T17:36:44.000-06:00,Nathan King,Canada,Calgary
13,7,39,Wooden Coffee Table,Living Room Furniture,149.99,2021-09-23T03:00:08.000-05:00,Mona Hall,Germany,Berlin
2,7,83,Wooden Coffee Table,Living Room Furniture,149.99,2020-08-14T23:56:46.000-05:00,Bob Smith,USA,Los Angeles
9,7,129,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-22T04:56:04.000-05:00,Ivy Clark,Australia,Melbourne
3,7,178,Wooden Coffee Table,Living Room Furniture,149.99,2021-06-20T02:54:30.000-05:00,Catherine Lee,Canada,Toronto
12,7,200,Wooden Coffee Table,Living Room Furniture,149.99,2021-05-15T13:09:04.000-05:00,Liam Walker,Australia,Adelaide
12,7,215,Wooden Coffee Table,Living Room Furniture,149.99,2021-11-29T11:11:14.000-06:00,Liam Walker,Australia,Adelaide
16,7,217,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-17T04:57:43.000-05:00,Peter Adams,Australia,Perth
13,7,235,Wooden Coffee Table,Living Room Furniture,149.99,2021-05-03T03:27:01.000-05:00,Mona Hall,Germany,Berlin
5,7,258,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-19T12:20:18.000-05:00,Eva Garcia,Germany,Cologne
6,7,262,Wooden Coffee Table,Living Room Furniture,149.99,2021-05-11T07:04:35.000-05:00,Frank Wilson,Canada,Calgary
7,7,287,Wooden Coffee Table,Living Room Furniture,149.99,2020-09-14T10:03:45.000-05:00,Grace Thompson,Germany,Frankfurt
11,7,309,Wooden Coffee Table,Living Room Furniture,149.99,2020-07-30T18:49:27.000-05:00,Karen Young,Germany,Frankfurt
9,7,317,Wooden Coffee Table,Living Room Furniture,149.99,2021-01-05T20:07:50.000-06:00,Ivy Clark,Australia,Melbourne
5,7,325,Wooden Coffee Table,Living Room Furniture,149.99,2020-07-13T06:12:26.000-05:00,Eva Garcia,Germany,Cologne
8,7,347,Wooden Coffee Table,Living Room Furniture,149.99,2020-12-15T13:03:12.000-06:00,Harry Martinez,Canada,Vancouver
4,7,352,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-17T09:47:21.000-05:00,Daniel Brown,Australia,Melbourne
14,7,355,Wooden Coffee Table,Living Room Furniture,149.99,2020-04-02T23:08:54.000-05:00,Nathan King,Canada,Calgary
13,7,389,Wooden Coffee Table,Living Room Furniture,149.99,2021-04-11T11:28:36.000-05:00,Mona Hall,Germany,Berlin
3,7,413,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-15T11:19:18.000-05:00,Catherine Lee,Canada,Toronto
3,7,429,Wooden Coffee Table,Living Room Furniture,149.99,2021-07-22T06:56:28.000-05:00,Catherine Lee,Canada,Toronto
5,7,433,Wooden Coffee Table,Living Room Furniture,149.99,2021-07-26T13:31:23.000-05:00,Eva Garcia,Germany,Cologne
13,7,441,Wooden Coffee Table,Living Room Furniture,149.99,2020-09-09T06:53:11.000-05:00,Mona Hall,Germany,Berlin
16,7,442,Wooden Coffee Table,Living Room Furniture,149.99,2020-06-19T04:20:06.000-05:00,Peter Adams,Australia,Perth
4,7,448,Wooden Coffee Table,Living Room Furniture,149.99,2021-07-23T01:28:26.000-05:00,Daniel Brown,Australia,Melbourne
17,7,460,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-22T15:49:31.000-06:00,Quinn Baker,Australia,Perth
19,7,518,Wooden Coffee Table,Living Room Furniture,149.99,2020-03-29T14:35:57.000-05:00,Sam Phillips,Canada,Montreal
13,7,565,Wooden Coffee Table,Living Room Furniture,149.99,2021-02-01T13:03:12.000-06:00,Mona Hall,Germany,Berlin
5,7,584,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-03T13:05:23.000-06:00,Eva Garcia,Germany,Cologne
10,7,598,Wooden Coffee Table,Living Room Furniture,149.99,2020-12-22T05:46:19.000-06:00,Jack Lewis,Australia,Perth
1,7,607,Wooden Coffee Table,Living Room Furniture,149.99,2020-01-27T21:43:23.000-06:00,Alice Johnson,USA,Phoenix
