order_id,customer_id,product_id,product_name,product_category,price,random_timestamp,customer_name,country,city,payment_txn_id
0,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-26T22:28:18.000-06:00,Olivia Scott,Canada,Calgary,CODE000000000000
6,8,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-04-20T14:33:33.000-05:00,Harry Martinez,Canada,Vancouver,CODE000000000006
27,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-09-21T11:48:43.000-05:00,Karen Young,Germany,Frankfurt,CODE000000000027
43,7,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-06T05:58:07.000-05:00,Grace Thompson,Germany,Frankfurt,CODE000000000043
56,1,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-30T18:54:26.000-05:00,Alice Johnson,USA,Phoenix,CODE000000000056
75,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-06T23:03:37.000-05:00,Mona Hall,Germany,Berlin,CODE000000000075
101,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-02T03:05:03.000-05:00,Olivia Scott,Canada,Calgary,CODE000000000101
124,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-09-18T23:04:00.000-05:00,Eva Garcia,Germany,Cologne,CODE000000000124
129,2,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-06-29T01:38:53.000-05:00,Bob Smith,USA,Los Angeles,CODE000000000129
141,8,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-24T21:25:00.000-06:00,Harry Martinez,Canada,Vancouver,CODE000000000141
152,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-02-14T12:38:50.000-06:00,Catherine Lee,Canada,Toronto,CODE000000000152
237,12,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-09T17:43:46.000-06:00,Liam Walker,Australia,Adelaide,CODE000000000237
262,6,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-24T21:31:56.000-05:00,Frank Wilson,Canada,Calgary,CODE000000000262
