customer_id,product_id,order_id,product_name,product_category,price,random_timestamp,customer_name,country,city
4,19,74,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-14T16:17:23.000-05:00,Daniel Brown,Australia,Melbourne
20,19,97,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-24T08:40:09.000-06:00,Tina Rodriguez,USA,Chicago
4,19,113,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-04T14:14:59.000-06:00,Daniel Brown,Australia,Melbourne
6,19,142,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-09-05T01:53:22.000-05:00,Frank Wilson,Canada,Calgary
1,19,161,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-05T07:36:40.000-05:00,Alice Johnson,USA,Phoenix
13,19,162,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-25T00:24:48.000-05:00,Mona Hall,Germany,Berlin
3,19,269,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-07T13:11:10.000-06:00,Catherine Lee,Canada,Toronto
13,19,324,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-10T06:13:29.000-05:00,Mona Hall,Germany,Berlin
15,19,325,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-30T12:01:01.000-05:00,Olivia Scott,Canada,Calgary
11,19,332,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-06-14T00:07:59.000-05:00,Karen Young,Germany,Frankfurt
5,19,342,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-21T07:15:22.000-05:00,Eva Garcia,Germany,Cologne
10,19,358,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-01T10:40:15.000-05:00,Jack Lewis,Australia,Perth
10,19,365,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-06-03T19:07:02.000-05:00,Jack Lewis,Australia,Perth
15,19,371,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-06-03T19:03:32.000-05:00,Olivia Scott,Canada,Calgary
10,19,379,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-10-25T08:42:20.000-05:00,Jack Lewis,Australia,Perth
2,19,480,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-05T04:58:53.000-06:00,Bob Smith,USA,Los Angeles
1,19,511,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-05T09:05:52.000-06:00,Alice Johnson,USA,Phoenix
10,19,553,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-21T22:27:00.000-05:00,Jack Lewis,Australia,Perth
2,19,579,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-10-19T11:11:56.000-05:00,Bob Smith,USA,Los Angeles
10,19,601,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-02-07T04:17:04.000-06:00,Jack Lewis,Australia,Perth
9,19,608,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-21T00:22:32.000-06:00,Ivy Clark,Australia,Melbourne
